Year,Region,ZNO Grade,DPA Grade,Test Grade
2019,Вінницька область,145.934,7.451,56.510
2019,Волинська область,153.197,7.751,60.856
2019,Дніпропетровська область,146.351,7.434,56.109
2019,Донецька область,140.170,7.016,52.704
2019,Житомирська область,142.349,7.074,54.118
2019,Закарпатська область,138.922,6.754,52.252
2019,Запорізька область,137.205,6.937,51.300
2019,Івано-Франківська область,151.411,7.619,59.461
2019,Київська область,148.648,7.584,57.720
2019,Кіровоградська область,145.880,7.234,55.393
2019,Луганська область,140.557,6.969,52.203
2019,Львівська область,153.714,7.939,62.108
2019,м.Київ,157.340,8.237,64.217
2019,Миколаївська область,138.987,6.851,51.424
2019,Одеська область,137.483,6.782,51.228
2019,Полтавська область,144.830,7.404,55.768
2019,Рівненська область,147.340,7.320,57.110
2019,Сумська область,148.045,7.408,57.573
2019,Тернопільська область,146.912,7.412,57.300
2019,Харківська область,149.630,7.670,58.460
2019,Херсонська область,147.039,7.524,56.902
2019,Хмельницька область,144.054,7.097,55.119
2019,Черкаська область,149.563,7.418,57.503
2019,Чернівецька область,138.785,7.029,53.000
2019,Чернігівська область,148.881,7.470,57.835
2020,Вінницька область,141.793,7.908,55.209
2020,Волинська область,147.418,8.275,59.045
2020,Дніпропетровська область,140.539,7.745,54.293
2020,Донецька область,136.390,7.555,52.493
2020,Житомирська область,141.545,7.843,55.884
2020,Закарпатська область,133.502,7.274,51.142
2020,Запорізька область,132.713,7.246,49.141
2020,Івано-Франківська область,145.267,8.009,57.727
2020,Київська область,140.549,7.722,54.752
2020,Кіровоградська область,140.970,7.724,54.138
2020,Луганська область,137.362,7.524,52.326
2020,Львівська область,150.227,8.321,61.254
2020,м.Київ,154.683,8.664,63.749
2020,Миколаївська область,137.166,7.474,52.228
2020,Одеська область,135.175,7.458,51.203
2020,Полтавська область,146.085,8.195,57.956
2020,Рівненська область,145.492,7.962,57.267
2020,Сумська область,149.077,8.254,58.674
2020,Тернопільська область,142.989,7.756,56.060
2020,Харківська область,145.739,8.095,57.369
2020,Херсонська область,143.538,8.008,55.683
2020,Хмельницька область,142.166,7.974,56.172
2020,Черкаська область,141.104,7.654,53.851
2020,Чернівецька область,145.925,8.052,56.908
2020,Чернігівська область,143.823,7.901,56.664
